--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
8     uint64_t nb_clusters;                                                                     {'codebert': 16, 'PLBART': 8, 'devign': 24, 'vulberta_cnn': 18, 'vulberta_mlp': 43}
10     uint8_t *expanded_clusters;                                                              {'codebert': 13, 'PLBART': 7, 'devign': 22, 'vulberta_cnn': 11, 'vulberta_mlp': 32}
12     int ret;                                                                                 {'codebert': 18, 'PLBART': 9, 'devign': 21, 'vulberta_cnn': 24, 'vulberta_mlp': 39}
14     int i, j;                                                                                {'codebert': 19, 'PLBART': 10, 'devign': 23, 'vulberta_cnn': 39, 'vulberta_mlp': 29}
18     nb_clusters = size_to_clusters(s, bs->file->total_sectors *                              {'codebert': 5, 'PLBART': 1, 'devign': -1, 'vulberta_cnn': 15, 'vulberta_mlp': 18}
20                                    BDRV_SECTOR_SIZE);                                        {'codebert': 3, 'PLBART': 6, 'devign': -1, 'vulberta_cnn': 14, 'vulberta_mlp': 4}
22     expanded_clusters = g_malloc0((nb_clusters + 7) / 8);                                    {'codebert': 1, 'PLBART': 2, 'devign': 19, 'vulberta_cnn': 9, 'vulberta_mlp': 6}
26     ret = expand_zero_clusters_in_l1(bs, s->l1_table, s->l1_size,                            {'codebert': 11, 'PLBART': 0, 'devign': -1, 'vulberta_cnn': 7, 'vulberta_mlp': 41}
28                                      &expanded_clusters, &nb_clusters);                      {'codebert': 9, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 38, 'vulberta_mlp': 31}
30     if (ret < 0) {                                                                           {'codebert': 8, 'PLBART': -1, 'devign': 4, 'vulberta_cnn': 20, 'vulberta_mlp': 38}
32         goto fail;                                                                           {'codebert': 2, 'PLBART': -1, 'devign': 10, 'vulberta_cnn': 21, 'vulberta_mlp': 28}
34     }                                                                                        {'codebert': 0, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 26, 'vulberta_mlp': 37}
38     /* Inactive L1 tables may point to active L2 tables - therefore it is                    {'codebert': 6, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
40      * necessary to flush the L2 table cache before trying to access the L2                  {'codebert': 15, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
42      * tables pointed to by inactive L1 entries (else we might try to expand                 {'codebert': 17, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
44      * zero clusters that have already been expanded); furthermore, it is also               {'codebert': 14, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
46      * necessary to empty the L2 table cache, since it may contain tables which              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
48      * are now going to be modified directly on disk, bypassing the cache.                   {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
50      * qcow2_cache_empty() does both for us. */                                              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
52     ret = qcow2_cache_empty(bs, s->l2_table_cache);                                          {'codebert': -1, 'PLBART': -1, 'devign': 15, 'vulberta_cnn': 16, 'vulberta_mlp': 30}
54     if (ret < 0) {                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 3, 'vulberta_cnn': 2, 'vulberta_mlp': 36}
56         goto fail;                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 9, 'vulberta_cnn': 37, 'vulberta_mlp': 13}
58     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 32, 'vulberta_mlp': 24}
62     for (i = 0; i < s->nb_snapshots; i++) {                                                  {'codebert': -1, 'PLBART': -1, 'devign': 5, 'vulberta_cnn': 40, 'vulberta_mlp': 40}
64         int l1_sectors = (s->snapshots[i].l1_size * sizeof(uint64_t) +                       {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 1, 'vulberta_mlp': 33}
66                 BDRV_SECTOR_SIZE - 1) / BDRV_SECTOR_SIZE;                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 25, 'vulberta_mlp': 8}
70         l1_table = g_realloc(l1_table, l1_sectors * BDRV_SECTOR_SIZE);                       {'codebert': -1, 'PLBART': -1, 'devign': 12, 'vulberta_cnn': 0, 'vulberta_mlp': 11}
74         ret = bdrv_read(bs->file, s->snapshots[i].l1_table_offset /                          {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 41, 'vulberta_mlp': 7}
76                 BDRV_SECTOR_SIZE, (void *)l1_table, l1_sectors);                             {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 4, 'vulberta_mlp': 5}
78         if (ret < 0) {                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 2, 'vulberta_cnn': 5, 'vulberta_mlp': 20}
80             goto fail;                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 8, 'vulberta_cnn': 28, 'vulberta_mlp': 16}
82         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 33, 'vulberta_mlp': 15}
86         for (j = 0; j < s->snapshots[i].l1_size; j++) {                                      {'codebert': -1, 'PLBART': -1, 'devign': 0, 'vulberta_cnn': 29, 'vulberta_mlp': 34}
88             be64_to_cpus(&l1_table[j]);                                                      {'codebert': -1, 'PLBART': -1, 'devign': 17, 'vulberta_cnn': 27, 'vulberta_mlp': 35}
90         }                                                                                    {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 17, 'vulberta_mlp': 9}
94         ret = expand_zero_clusters_in_l1(bs, l1_table, s->snapshots[i].l1_size,              {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 30, 'vulberta_mlp': 42}
96                                          &expanded_clusters, &nb_clusters);                  {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 6, 'vulberta_mlp': 26}
98         if (ret < 0) {                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 1, 'vulberta_cnn': 36, 'vulberta_mlp': 19}
100             goto fail;                                                                      {'codebert': -1, 'PLBART': -1, 'devign': 7, 'vulberta_cnn': 12, 'vulberta_mlp': 23}
102         }                                                                                   {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 10, 'vulberta_mlp': 22}
104     }                                                                                       {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 31, 'vulberta_mlp': 21}
108     ret = 0;                                                                                {'codebert': -1, 'PLBART': -1, 'devign': 25, 'vulberta_cnn': 8, 'vulberta_mlp': 14}
112 fail:                                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 6, 'vulberta_cnn': 19, 'vulberta_mlp': 1}
114     g_free(expanded_clusters);                                                              {'codebert': -1, 'PLBART': -1, 'devign': 20, 'vulberta_cnn': 3, 'vulberta_mlp': 3}
116     g_free(l1_table);                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 16, 'vulberta_cnn': 22, 'vulberta_mlp': 10}
118     return ret;                                                                             {'codebert': -1, 'PLBART': -1, 'devign': 13, 'vulberta_cnn': 13, 'vulberta_mlp': 2}
120 }                                                                                           {'codebert': -1, 'PLBART': -1, 'devign': -1, 'vulberta_cnn': 42, 'vulberta_mlp': 0}
-----------------------
Highlighted lines: 
20                                    BDRV_SECTOR_SIZE);
22     expanded_clusters = g_malloc0((nb_clusters + 7) / 8);
--------------------------------------------------------------------------------------------------------------
Example ids:  13268 project:  FFmpeg commit id:  fd0f45e58b010c0d7049914a392c3e96a2223107 Number of lines:  690 tground truth:  1
Original lines: 
Predicted Correctly by :  ['linevul', 'codebert', 'devign', 'regvd', 'vulberta_cnn']
